"Name","val_loss"
"distilbert_base_japan_rtl","2.8326140656842465"
"distilbert_base_japan_ltr","2.8237654270093375"
"bert_6M_rtl_scratch","4.744475745069383"
"bert_6_ltr_scratch","4.761364663504469"
"bert_11_rtl_scratch","4.446949723712903"
"bert_11_ltr_scratch","4.462378635840655"
"bert_19_rtl_scratch","4.177320378220149"
"bert_19_ltr_scratch","4.186270630920852"
"bert_35_rtl_scratch","3.927856646112007"
"bert_35_ltr_scratch","3.941595227497572"
"qa_distilbert_base_ltr_v2","3.1502674087524416"
"qa_distilbert_base_rtl_v2","3.1904524799346925"
"qa_ltr_distilbert_base","3.3259500965491715"
"distilbert_base_ltr_scratch","3.6863074678864063"
"distilbert_base_rtl_scratch","3.6885659350549624"
"deep-monkey-11","3.009245432539425"
"distilbert_base_ltr_4epoch","3.1961001348322804"
"distilbert_base_rtl_4epoch","3.19366226070481"
"bert_base_ltr_4epoch","3.082235844222857"
"bert_base_rtl_4epoch","3.0881099989546192"
